"idnum","obs","distance","avgdirection","avgthrust"
"48113009608",1568,9.90084929916379,4.69401001064701,0.204398920917923
"48113009611",1800,8.79397258397493,0.137738724282481,0.0336747428807481
"48113012100",2367,12.8132783529389,2.46459386599196,1.04515513612463
"48113014123",2842,11.2570940989354,5.36103419789944,0.629361504065372
"48113014308",1548,9.9190227134986,0.833119873616692,0.289857574696747
"48113014406",2021,9.85769537260742,0.706208065594963,0.392663124967061
"48113015100",2754,10.3874645339856,1.40966821564552,0.47014386651724
"48113015206",1787,10.2002025785742,1.24838531379849,0.440704044220129
"48113016521",2062,14.2166618810769,1.18215891057023,1.07615881889766
"48113016625",4212,16.7151226505275,1.54809929728653,1.5314653404661
"48113017101",1797,16.9899295603464,2.36129041214616,1.71138605934871
"48113017400",2295,14.7741598654603,2.57148573139367,1.41564190107625
"48113017704",2157,14.347402158974,2.60974242828001,1.398374358437
"48113017813",2826,12.7316587239673,2.76607724309776,1.10299378148626
"48113018139",3632,14.6079781732937,3.36068938757165,1.50121327393537
"48113019031",3240,10.8412019216372,3.69531706125045,0.947559335590543
"48113019039",2784,10.4255616737931,3.5185476844446,0.835015512947938
"48121020505",3274,15.566317400784,5.0771955590526,2.1605187265893
"48121020601",1584,17.0368358353418,5.08264761541025,2.02672524145744
"48121021521",2346,13.4039401125039,4.75227404401605,0.958690747881287
"48121021750",2016,14.4869308427861,5.71061837233316,1.06344254686047
"48139060802",2968,20.7268266073415,1.3324435318524,2.27205003113947
"48139061400",3165,20.6030792311309,2.05468450498772,3.11374858412704
"48181001700",1505,17.3417395563006,4.43249887588838,2.77710945602556
"48213950601",637,18.1593480383894,0.712017997872682,0.779139821890548
"48213950602",903,17.9920841485585,0.672426567856503,0.565521260625023
"48213950700",615,19.9963675913457,2.08678569849597,1.37960643552915
"48213950902",471,19.9583145947175,0.979614299413178,1.93026508186483
"48251130800",1268,18.2505442567702,1.17510310630247,2.42865470984971
"48257050204",2520,22.0021322915112,2.80809748757064,2.18620516887919
"48257050206",5074,20.1217456528269,2.62387099766292,2.10187136869275
"48257051300",1874,22.0798265932403,2.30484210582302,3.38338868931403
"48349970300",2185,16.5471769780889,1.80278197227363,2.14953367613804
"48349970500",1062,13.9800160869673,2.16020722171804,1.47490794621315
"48349970700",1384,15.0733705777937,1.85183439189952,1.40278589829795
"48349970800",528,13.2950097714347,1.80433361518583,1.60512622006359
"48349970900",1825,13.5024641979531,2.0093397712561,1.2464000797555
"48367140705",2887,18.8862605162692,6.26565420870172,2.43588827530056
"48367140706",2848,16.9508978682071,0.102608006340205,2.1427040685356
"48397040102",3117,17.1662400859043,3.47602563550444,1.85979320460415
"48439105513",1210,14.6117417775192,0.549436117397913,1.56396624390759
"48439106201",1254,12.6319642515975,0.83590094753921,0.77993798766108
"48439106503",2209,13.7045274772237,0.506451575869442,0.758788355186672
"48439106511",3448,13.1710878713365,0.32407462786041,0.648765899152589
"48439110906",1748,16.2266079724397,0.605484878235632,1.63000097290149
"48439111204",2515,17.3052887267397,1.11117942462313,1.78223488035989
"48439113213",1653,13.1646976012566,0.0476060357429101,0.981052896983912
"48439113220",2920,13.119723732165,6.107314817156,0.941591857086199
"48439113403",1239,12.7258383652214,6.24636367685921,0.785537756324949
"48439113513",2769,10.4466691166419,5.28581124459611,0.169301484324491
"48439113628",2526,10.8599745749642,6.05646787083292,0.332581671175785
"48439113629",2084,11.8095588616389,0.0940233697819482,0.505730269375694
"48439113803",2615,13.6858488006511,5.68109499602064,0.935546758257933
"48439113812",2584,14.4176193771891,5.71492035412748,1.10356729940535
"48439113909",2635,13.4221445367732,5.53072249252518,0.845774824878833
"48439113918",2467,13.3157642579978,5.71663687040027,0.957908385685632
"48439113926",7229,16.6058901798144,5.79971589344246,1.67576600551456
"48439113928",4259,16.4023251859805,5.62721355818579,1.43606880337638
"48439114005",4063,15.8642172328664,5.98328356076218,1.72847883921924
"48439114008",5375,15.2595363993014,5.96751992921509,1.66409009618843
"48439122700",2282,11.5543836579408,0.916368240627096,0.844959442782753
