"GEOID","pop","landArea","popDens","pop1000","popDens1000","logPopDens","pct100","pct149","pct150","pluWht","pluBlk","pluAsn","pluHisp","loginc","pctOwn","pctRent","meanHHsz","housAge","logHousVal","thouHousVal","medianRent","logMedianRent"
"48113019023",4945,1.0561273554854,4682.20046977882,4.945,4.68220046977882,8.45152346425914,NA,NA,NA,1,0,0,0,10.5497003459069,58.8068181818182,41.1931818181818,"2.34",40,12.1134089606668,182.3,1158,7.05444965813294
"48113019024",4390,0.9805629078212,4477.02025539038,4.39,4.47702025539038,8.40671298255291,5.59589918838103,1.02520290474156,93.3788979068774,1,0,0,0,10.204554644598,79.0890269151139,20.9109730848861,"3.03",42,11.9854259744146,160.4,1214,7.10167597161944
"48113019025",4848,0.7729634769252,6271.96516358708,4.848,6.27196516358708,8.7438450077398,3.66151342554923,4.10903173311636,92.2294548413344,1,0,0,0,10.5052045164902,87.361963190184,12.638036809816,"2.97",34,11.8733932071477,143.4,1655,7.41155628781116
"48113019026",5385,1.0505431593668,5125.91981775002,5.385,5.12591981775002,8.54206526453676,9.86185725249424,3.18495778971604,86.9531849577897,1,0,0,0,10.166313248989,78.2058047493404,21.7941952506596,"2.77",40,11.8277362048103,137,970,6.87729607149743
"48113019027",5379,1.9962190307026,2694.59408875928,5.379,2.69459408875928,7.89900285558345,5.73943661971831,10.0704225352113,84.1901408450704,1,0,0,0,10.4247782261499,40.5103668261563,59.4896331738437,"2.86",27,11.8906767345109,145.9,1169,7.06390396147207
"48113019028",3435,0.5548991320004,6190.31424254872,3.435,6.19031424254872,8.73074113055304,2.45700245700246,8.23095823095823,89.3120393120393,1,0,0,0,10.127670563425,62.5420875420875,37.4579124579125,"2.89",42,11.7142323216753,122.3,1097,7.00033446027523
"48113019029",5547,0.854978920147,6487.8792556035,5.547,6.4878792556035,8.77769098520338,11.4082741328876,8.14876723777685,80.4429586293356,1,0,0,0,10.1497224350737,66.6042154566745,33.3957845433255,"2.54",38,11.5787132055082,106.8,1090,6.99393297522319
"48113019031",5837,1.377031565789,4238.82803053652,5.837,4.23882803053652,8.35204210212597,3.24825986078886,2.37819025522042,94.3735498839907,1,0,0,0,10.4662127868429,78.3615316117542,21.6384683882458,"2.60",39,11.9854259744146,160.4,1380,7.22983877815125
"48113019032",4122,0.4944845624598,8335.95285461537,4.122,8.33595285461537,9.0283331083408,7.66384778012685,17.3361522198731,75,0,0,0,1,10.069467984117,74.3705035971223,25.6294964028777,"3.71",49,11.6018516741646,109.3,834,6.72623340235875
"48113019033",4715,0.5384172012868,8757.14963922271,4.715,8.75714963922271,9.07762574733131,14.396509936985,10.6640814348037,74.9394086282113,0,0,0,1,9.96137903095191,60.6986899563319,39.3013100436681,"4.12",52,11.5550266409889,104.3,895,6.79682371827486
"48113019034",4657,0.6846607454786,6801.90887348829,4.657,6.80190887348829,8.8249585684601,9.25997675319644,14.103060829136,76.6369624176676,0,1,0,0,10.0681965820132,25.771144278607,74.228855721393,"2.30",36,11.6944133410156,119.9,796,6.67959918584438
"48113019035",5949,0.4108733588454,14478.9139327927,5.949,14.4789139327927,9.58044865848533,21.6175359032502,20.5593348450491,57.8231292517007,1,0,0,0,10.0082078633065,12.5,87.5,"2.57",36,12.236601850565,206.2,779,6.65801104587075
"48113019036",2978,1.0434906165816,2853.88287415148,2.978,2.85388287415148,7.95643575800456,1.7629179331307,1.15501519756839,97.0820668693009,1,0,0,0,10.7217464041372,87.8653675819309,12.1346324180691,"2.64",39,12.2657556476913,212.3,1733,7.45760928971561
"48113019037",3892,0.6850503225984,5681.33445326705,3.892,5.68133445326705,8.64494142307683,3.46854791299236,5.23221634332745,91.2992357436802,1,0,0,0,10.4696532713353,85.4299363057325,14.5700636942675,"3.01",40,11.9978177067097,162.4,1513,7.32184971378836
"48113019038",954,1.8365804428862,519.443623444439,0.954,0.519443623444439,6.25275828385055,6.13409415121255,2.42510699001427,91.4407988587732,1,0,0,0,10.8920989459899,0.33003300330033,99.6699669966997,"1.57",13,NA,NA,1177,7.07072410726028
"48113019039",6298,1.7425954453622,3614.14923742725,6.298,3.61414923742725,8.19261176455174,2.79818118223155,2.4833857992305,94.718433018538,1,0,0,0,10.3683215924511,73.8607050730868,26.1392949269132,"2.71",43,12.1117619660589,182,1343,7.20266119652324
"48113019040",6740,2.0620363283278,3268.61360656326,6.74,3.26861360656326,8.09212120046106,8.82936507936508,8.06878306878307,83.1018518518518,0,0,1,0,10.3721465281402,21.4527662777569,78.5472337222431,"2.54",25,12.5916751245421,294.1,1153,7.05012252026906
"48113019041",3058,0.4854891534042,6298.80189610338,3.058,6.29880189610338,8.74811471907234,2.94502617801047,0.981675392670157,96.0732984293194,1,0,0,0,10.6254894040002,78.2939189189189,21.7060810810811,"2.57",42,12.1955171315907,197.9,1444,7.27517231945277
"48113019042",5140,2.5123314939976,2045.90835734869,5.14,2.04590835734869,7.62359715437874,3.26485693323551,5.3925165077036,91.3426265590609,1,0,0,0,10.4756810512493,55.0965665236051,44.9034334763949,"2.76",22,12.0844698237709,177.1,1202,7.09174211509515
"48113019043",7729,3.9345489863548,1964.39287623678,7.729,1.96439287623678,7.58293850772641,1.84229918938836,1.1545074920167,97.0031933185949,1,0,0,0,10.6461865119253,94.1839331152308,5.81606688476917,"2.81",25,12.4024614595356,243.4,1336,7.19743535409659
"48113019100",6217,1.691015666362,3676.48870656241,6.217,3.67648870656241,8.20971341984111,4.91504854368932,2.7002427184466,92.3847087378641,1,0,0,0,10.3390938175563,47.9620102888801,52.0379897111199,"2.45",49,11.8719975335087,143.2,1119,7.02019070831193
"48113019202",5015,0.7763750759644,6459.50669368211,5.015,6.45950669368211,8.77330823065373,12.7059843885516,13.7467476149176,73.5472679965308,1,0,0,0,10.2154109162359,51.392681594757,48.607318405243,"2.74",54,12.1106624607255,181.8,857,6.75343791859778
"48113019203",3879,1.1258531656812,3445.38712350913,3.879,3.44538712350913,8.14479154970603,5.57640750670241,2.94906166219839,91.4745308310992,1,0,0,0,10.5814957142533,80.5854241338112,19.4145758661888,"2.32",56,12.3140297870353,222.8,1021,6.92853781816467
"48113019204",9240,1.100866175706,8393.39077165693,9.24,8.39339077165693,9.03519986223369,5.77733199598796,19.9197592778335,74.3029087261785,1,0,0,0,10.2239029946045,48.569332355099,51.430667644901,"3.38",48,11.9854259744146,160.4,1123,7.02375895473844
"48113019205",3690,1.1870546115054,3108.53432035483,3.69,3.10853432035483,8.04190661445746,NA,NA,NA,1,0,0,0,10.8176560340292,94.0725244072524,5.92747559274756,"2.57",47,12.5296043708757,276.4,2067,7.63385355968177
"48113019206",6521,1.1929461449752,5466.29873231668,6.521,5.46629873231667,8.60635701781507,14.2374027730808,2.53635441325668,83.2262428136625,1,0,0,0,10.1642736492748,42.3019431988042,57.6980568011958,"2.39",43,11.9722472458691,158.3,842,6.73578001424233
"48113019208",6720,0.4833231200622,13903.742074526,6.72,13.903742074526,9.53991329688188,16.5178571428571,22.1301020408163,61.3520408163265,0,0,0,1,9.86832658744254,24.0174672489083,75.9825327510917,"3.26",45,11.659619844121,115.8,787,6.6682282484174
"48113019210",3960,1.2196439537986,3246.84920354544,3.96,3.24684920354544,8.08544032924597,NA,NA,NA,1,0,0,0,10.8429868695472,95.7716701902748,4.22832980972517,"2.79",49,12.5824521727432,291.4,1701,7.43897159239586
"48113019211",5526,1.2937014445762,4271.46465915113,5.526,4.27146465915113,8.35971205891847,2.47400501972033,6.4897812836142,91.0362136966655,1,0,0,0,10.3049446392468,49.9565217391304,50.0434782608696,"2.27",50,11.8879313655937,145.5,1098,7.00124562206948
"48113019212",4097,0.1090927905078,37555.1856445277,4.097,37.5551856445277,10.5335667473785,29.0523045054376,17.29673744174,53.6509580528224,0,0,0,1,9.75823053987899,0,100,"3.54",44,NA,NA,728,6.59030104819669
"48113019213",3161,0.2484637155396,12722.1795469617,3.161,12.7221795469617,9.45110217024729,25.2892561983471,28.099173553719,46.6115702479339,0,0,0,1,9.58514006577346,2.35546038543897,97.644539614561,"2.26",40,11.0365012679216,62.1,757,6.62936325343745
"48113019301",3168,0.4631979289894,6839.40881797962,3.168,6.83940881797962,8.83045657676136,0.77574047954866,1.12834978843441,98.0959097320169,1,0,0,0,11.4202617801068,97.2672064777328,2.7327935222672,"3.21",26,14.065490763232,1284,2938,7.98548435673382
"48113019302",5399,0.7189948836136,7509.09376832438,5.399,7.50909376832438,8.92387006748022,6.45161290322581,2.48138957816377,91.0669975186104,1,0,0,0,8.75447630628417,72.7272727272727,27.2727272727273,"3.05",38,13.7755215497479,960.8,1908,7.55381085200823
"48113019400",4133,0.5908282583236,6995.26459977873,4.133,6.99526459977873,8.85298871337183,8.73940677966102,3.8135593220339,87.4470338983051,1,0,0,0,11.1919623379498,70.5159705159705,29.4840294840295,"2.54",35,13.7717676350164,957.2,1658,7.41336733569524
"48113019501",7130,1.1133523347518,6404.08231738203,7.13,6.40408231738203,8.76469092809115,NA,NA,NA,1,0,0,0,11.5623344852278,86.2162162162162,13.7837837837838,"3.21",49,14.026014565732,1234.3,1583,7.36707705988101
"48113019502",4516,0.8020188257818,5630.79051866127,4.516,5.63079051866127,8.63600512311728,2.56539235412475,1.05633802816901,96.3782696177062,1,0,0,0,11.3151937797167,70.7415990730012,29.2584009269988,"2.62",71,13.7885503763815,973.4,2026,7.61381868480863
"48113019600",2128,0.3920493321866,5427.88834285568,2.128,5.42788834285568,8.59930545015654,2.3489932885906,1.00671140939597,96.6442953020134,1,0,0,0,11.2072287657961,85.7837181044957,14.2162818955043,"2.59",39,14.1435185018876,1388.2,1138,7.03702761468628
"48113019700",1828,0.8254502099932,2214.54907621268,1.828,2.21454907621268,7.70280408442394,4.47552447552448,1.67832167832168,93.8461538461538,1,0,0,0,11.5083650822139,87.3501997336884,12.6498002663116,"2.43",44,14.5086582385241,2000.001,1411,7.25205395185281
"48113019800",5030,1.0261835854666,4901.65704386402,5.03,4.90165704386402,8.49732859914853,2.22114920328344,2.17286335103815,95.6059874456784,1,0,0,0,11.4110366936057,82.8749351323301,17.1250648676699,"2.61",75,13.8232802952286,1007.8,3413,8.13534694890671
"48113019900",4301,0.589274969173,7298.79975393509,4.301,7.29879975393509,8.89546519634932,6.4042303172738,15.5111633372503,78.0846063454759,0,0,0,1,10.0645854728785,51.9480519480519,48.0519480519481,"3.99",67,11.3409502002304,84.2,768,6.64378973314767
"48113020000",4676,2.7055984251274,1728.26830344559,4.676,1.72826830344559,7.45487520550882,0.642054574638844,4.21348314606742,95.1444622792937,1,0,0,0,11.1820574950688,77.5675675675676,22.4324324324324,"3.16",23,12.802158113247,363,1681,7.42714413340862
"48113020100",2540,4.9721781854382,510.84251313414,2.54,0.51084251313414,6.23606134922707,15.1690821256039,13.719806763285,71.1111111111111,1,0,0,0,9.93808219730063,51.9946808510638,48.0053191489362,"3.38",55,11.562667556865,105.1,683,6.52649485957079
"48113020200",3882,9.8113267883774,395.665141293495,3.882,0.395665141293495,5.98056825073656,15.4632152588556,14.441416893733,70.0953678474115,0,1,0,0,9.66256183142612,64.7570703408267,35.2429296591733,"2.81",50,10.9577995823077,57.4,894,6.79570577517351
"48113020300",2255,1.4372754781572,1568.94070362297,2.255,1.56894070362297,7.35815595955423,9.15934755332497,18.444165621079,72.396486825596,0,1,0,0,9.58149004966923,22.1311475409836,77.8688524590164,"1.96",53,11.4119995463803,90.4,637,6.45676965557216
"48113020400",6565,2.610797979757,2514.55687146312,6.565,2.51455687146312,7.82985187276055,10.9582542694497,3.4392789373814,85.6024667931689,1,0,0,0,10.5651182658783,10.9064112011791,89.0935887988209,"1.65",23,12.8594389560783,384.4,1363,7.21744343169653
"48113020500",5452,2.1003604465976,2595.74493931828,5.452,2.59574493931828,7.86162882157877,32.1120689655172,4.45402298850575,63.433908045977,0,1,0,0,9.32197118814737,20.4081632653061,79.5918367346939,"2.88",15,11.5502212497139,103.8,307,5.7268477475872
"48113020600",2428,2.0315852200182,1195.1258436396,2.428,1.1951258436396,7.08600676730609,NA,NA,NA,1,0,0,0,11.3163629858859,95.5377574370709,4.46224256292906,"2.78",44,14.2913719966942,1609.4,NA,NA
"48113020700",4332,2.3197471915574,1867.4448732026,4.332,1.8674448732026,7.53232639753653,5.75153374233129,5.98159509202454,88.2668711656442,1,0,0,0,10.6114987147446,68.9609820254274,31.0390179745726,"1.90",40,12.0370621027959,168.9,1077,6.98193467715639
"48113980000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48113980100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48121020103",11718,47.2651556413916,247.920478436723,11.718,0.247920478436723,5.51310804328048,3.96491228070175,6.01754385964912,90.0175438596491,1,0,0,0,10.2931281102973,76.6576951309029,23.3423048690971,"2.83",30,11.8600549960654,141.5,1104,7.00669522683704
"48121020104",3717,74.2437534287196,50.0648179589767,3.717,0.0500648179589767,3.91331852505961,NA,NA,NA,1,0,0,0,10.6561057485881,97.0930232558139,2.90697674418605,"3.09",17,12.3519030937417,231.4,NA,NA
"48121020105",8347,14.0221438680004,595.272739930196,8.347,0.595272739930196,6.38901968695597,4.37990954534635,2.52320875981909,93.0968816948346,1,0,0,0,10.7449038647646,71.4055577929923,28.5944422070077,"3.36",13,12.0968156595932,179.3,1745,7.46450983463653
"48121020106",7357,12.3556808266386,595.434610461809,7.357,0.595434610461809,6.38929157665675,1.91725529767911,7.0635721493441,91.0191725529768,1,0,0,0,10.6579649882477,80.2726885385599,19.7273114614401,"3.13",13,12.0725412529057,175,1641,7.40306109109009
"48121020107",6318,11.333369846238,557.4687922231,6.318,0.5574687922231,6.32340652369229,2.63860065223836,4.71390453602135,92.6474948117403,1,0,0,0,10.6228383985927,82.9990884229717,17.0009115770283,"2.88",14,12.0227505884026,166.5,1405,7.24779258176785
"48121020108",16548,9.9769874122072,1658.61690671805,16.548,1.65861690671805,7.41373934533187,3.57309124767225,2.00186219739292,94.4250465549348,1,0,0,0,10.7761607192546,84.6577946768061,15.3422053231939,"3.15",10,12.2746654369958,214.2,1811,7.50163445788341
"48121020109",4660,6.2500567757562,745.593226940916,4.66,0.745593226940916,6.61418017929165,0.361944157187177,0.568769389865564,99.0692864529473,1,0,0,0,11.1503905276164,89.1696750902527,10.8303249097473,"3.36",9,12.7582321327891,347.4,1938,7.56941179245071
"48121020110",6013,1.028782825477,5844.77097701553,6.013,5.84477097701553,8.67330269042089,0.315678709224833,0.911960715538408,98.7723605752368,1,0,0,0,11.048187945397,93.7271619975639,6.27283800243606,"3.66",NA,12.5783256194322,290.2,2254,7.72046169459972
"48121020111",4120,0.7790503781082,5288.48982783984,4.12,5.28848982783984,8.57328800731723,NA,NA,NA,1,0,0,0,11.256470704935,93.0008748906387,6.99912510936133,"3.60",NA,12.8152945911524,367.8,2770,7.92660259918138
"48121020112",3266,0.5783915203594,5646.69412506355,3.266,5.64669412506355,8.63882554228825,2.21116639027087,2.1558872305141,95.632946379215,1,0,0,0,10.8827530835717,88.8584474885845,11.1415525114155,"2.98",NA,12.3117830999523,222.3,1848,7.52185925220163
"48121020113",11896,1.639745155224,7254.78588066017,11.896,7.25478588066017,8.88941665153475,1.54905335628227,4.92880613362541,93.5221405100923,1,0,0,0,10.6005022446226,72.4670221723267,27.5329778276733,"3.34",13,11.9996632932071,162.7,1614,7.38647084882989
"48121020114",10630,3.216912796383,3304.41036883314,10.63,3.30441036883314,8.10301333057023,5.79435313948588,4.53013063632533,89.6755162241888,1,0,0,0,10.4604999546014,64.4599303135889,35.5400696864111,"3.09",14,11.9518253491646,155.1,1271,7.14755927118945
"48121020115",5395,7.9388079527152,679.573058339927,5.395,0.679573058339927,6.52146474560396,7.84381478921907,6.28887353144437,85.8673116793366,1,0,0,0,10.3468904999847,79.9112097669256,20.0887902330744,"2.99",20,12.0346910287746,168.5,1139,7.03790596344718
"48121020202",9790,96.88460574089,101.048044992644,9.79,0.101048044992644,4.61559609673169,2.40989550010663,7.67754318618042,89.9125613137129,1,0,0,0,10.3273163446613,80.8430324001258,19.1569675998742,"3.08",27,11.9841783136164,160.2,1154,7.05098944706805
"48121020203",5615,11.6670351203538,481.270514923223,5.615,0.481270514923223,6.17642951310532,2.23243598161523,2.72488509520683,95.0426789231779,1,0,0,0,10.3149347323218,71.1528694768918,28.8471305231082,"2.85",30,11.6360276621042,113.1,1096,6.99942246750796
"48121020204",3855,69.4640722866244,55.4963144702113,3.855,0.0554963144702113,4.01631661260528,2.86561264822134,4.05138339920949,93.0830039525692,1,0,0,0,10.3383820046683,72.9781771501926,27.0218228498074,"2.47",21,12.2278341373117,204.4,895,6.79682371827486
"48121020205",1804,25.03917168753,72.0471117220873,1.804,0.0720471117220873,4.2773202345093,8.98282694848085,10.1717305151915,80.8454425363276,1,0,0,0,10.3825748005149,87.220447284345,12.779552715655,"2.82",26,12.1495022940418,189,1047,6.95368421087054
"48121020303",11517,37.14067641658,310.091282959475,11.517,0.310091282959475,5.73686671529361,1.94850382741823,1.93110647181628,96.1203897007655,1,0,0,0,10.7941937741974,87.6621724751972,12.3378275248028,"2.92",17,12.7239731829681,335.7,1506,7.31721240835984
"48121020305",7480,7.1440602035638,1047.02365137805,7.48,1.04702365137805,6.95370680027925,4.31491294473883,0.731768861973253,94.9533181932879,1,0,0,0,10.9017637191516,92.2384701912261,7.7615298087739,"2.80",31,12.737582860489,340.3,1048,6.95463886488099
"48121020306",6764,9.4158388299976,718.3640376735,6.764,0.7183640376735,6.57697645681727,4.35540069686411,3.95719263315082,91.6874066699851,1,0,0,0,10.5880479721588,37.795831861533,62.204168138467,"2.39",15,12.0765332741752,175.7,1110,7.01211529430638
"48121020307",10802,17.5590990945766,615.179625208469,10.802,0.615179625208469,6.42191429867106,3.13608362889677,0.597349262647004,96.2665671084562,1,0,0,0,10.8039130952207,90.2629297890783,9.7370702109217,"3.11",14,12.6989379439192,327.4,1565,7.35564110297425
"48121020308",11541,46.0878331219394,250.413161527138,11.541,0.250413161527138,5.52311219985395,3.15533980582524,3.25936199722607,93.5852981969487,1,0,0,0,10.5519511254694,78.1070456607197,21.8929543392803,"3.49",14,11.897507362162,146.9,1294,7.16549347506085
"48121020309",9521,79.736013594171,119.406521229649,9.521,0.119406521229649,4.7825338161308,5.5385288966725,3.69964973730298,90.7618213660245,1,0,0,0,10.5008394356412,77.4652440995797,22.5347559004203,"3.04",20,12.0417874512223,169.7,983,6.89060912014717
"48121020310",3004,24.7582807926212,121.333142036877,3.004,0.121333142036877,4.79854000234825,3.75586854460094,1.87793427230047,94.3661971830986,1,0,0,0,10.421119957515,87.7215189873418,12.2784810126582,"1.90",NA,12.5766011837574,289.7,1456,7.28344822875663
"48121020401",8347,31.5715618360142,264.383499408586,8.347,0.264383499408586,5.57740069834698,9.6364809636481,7.89417078941708,82.4693482469348,1,0,0,0,10.3152660227009,56.0478199718706,43.9521800281294,"2.91",17,11.9620884283441,156.7,976,6.88346258641309
"48121020402",5164,3.80916847454,1355.67645130834,5.164,1.35567645130834,7.21205583479975,9.64725881852954,4.6748831279218,85.6778580535487,1,0,0,0,10.2207405630781,60.039860488291,39.960139511709,"2.45",35,11.9036152874962,147.8,1144,7.04228617193974
"48121020403",3293,1.6727673180834,1968.59417589113,3.293,1.96859417589113,7.5850749506878,16.0633484162896,10.237556561086,73.6990950226244,1,0,0,0,10.0497500595144,50.2463054187192,49.7536945812808,"2.32",62,11.6552927062571,115.3,1013,6.92067150424868
"48121020503",6644,1.0284805074544,6460.01548093956,6.644,6.46001548093956,8.77338699320405,15.9048215403882,8.10895428929242,75.9862241703193,1,0,0,0,10.1349563525963,32.9517579721995,67.0482420278005,"2.71",39,11.7076695417627,121.5,888,6.78897174299217
"48121020504",3194,4.6137598992804,692.277029955148,3.194,0.692277029955149,6.5399862078112,10.3594080338266,16.2790697674419,73.3615221987315,1,0,0,0,10.017619486581,59.4474153297683,40.5525846702317,"2.83",28,11.4197130832481,91.1,994,6.90173720665657
