"GEOID","pop","landArea","popDens","pop1000","popDens1000","logPopDens","pct100","pct149","pct150","universe","white","black","asian","hispuniverse","hisp","pctWht","pctBlk","pctAsn","pctHisp","pluWht","pluBlk","pluAsn","pluHisp","loginc","pctOwn","meanHHsz","medAge","logHousVal","thouHousVal","estimate"
"48439105201",5664,0.8828964258202,6415.24853239519,5.664,6.41524853239519,8.76643301868356,17.9456906729634,31.9952774498229,50.0590318772137,5664,3401,1330,62,5664,2185,0.600459039548023,0.234816384180791,0.0109463276836158,0.385769774011299,1,0,0,0,9.58190392840867,20.1461854728186,"2.58",44,11.5843154610569,107.4,674
"48439105203",2288,0.6192476968568,3694.80582909475,2.288,3.69480582909474,8.21468328236546,11.2359550561798,7.08729472774417,81.6767502160761,2288,1933,329,0,2288,655,0.844842657342657,0.143793706293706,0,0.286276223776224,1,0,0,0,10.012476477548,51.252408477842,"2.20",46,11.4521133255735,94.1,776
"48439105204",2853,0.3552174989198,8031.69891313306,2.853,8.03169891313306,8.99115135531419,15.0684931506849,19.3085453359426,65.6229615133725,2853,1699,589,28,2853,859,0.595513494567122,0.206449351559762,0.00981423063441991,0.301086575534525,1,0,0,0,9.80184234877393,6.45634629493764,"2.09",37,11.3918871365932,88.6,643
"48439105205",5390,0.4505828118088,11962.2849756799,5.39,11.9622849756799,9.38951406073486,18.8067957329119,16.4757013038325,64.7175029632556,5390,2795,1847,8,5390,1292,0.518552875695733,0.342671614100186,0.00148423005565863,0.239703153988868,1,0,0,0,9.90213664046517,8.27133479212254,"2.36",42,11.3621025752356,86,664
"48439105403",6564,2.0785352475382,3157.99311451386,6.564,3.15799311451386,8.05769201448194,6.03448275862069,6.29973474801061,87.6657824933687,6564,6059,158,118,6564,721,0.923065204143815,0.0240706886045094,0.0179768433881779,0.109841560024375,1,0,0,0,10.6485628259564,51.9604612850082,"2.12",32,13.0439693099763,462.3,1161
"48439105404",3963,1.2679082732074,3125.62042834131,3.963,3.12562042834131,8.04738807953384,1.67564332734889,1.31657690005984,97.0077797725913,3963,3650,94,96,3963,271,0.921019429724956,0.0237194044915468,0.024224072672218,0.0683825384809488,1,0,0,0,11.0258489193751,88.2750153468385,"2.43",54,12.8076526325646,365,1486
"48439105405",3489,2.9853792762112,1168.69572580002,3.489,1.16869572580002,7.06364364170647,9.15032679738562,7.08898944193062,83.7606837606838,3489,2621,583,11,3489,519,0.7512181140728,0.167096589280596,0.00315276583548295,0.148753224419604,1,0,0,0,10.6043052394003,28.3266129032258,"1.76",32,12.7852109094783,356.9,794
"48439105406",5244,0.9933687594886,5279.00636083994,5.244,5.27900636083994,8.57149316975563,3.35974643423138,3.54992076069731,93.0903328050713,5244,4645,199,183,5244,589,0.885774218154081,0.0379481311975591,0.0348970251716247,0.11231884057971,1,0,0,0,10.5842331503783,25.6631299734748,"1.71",23,12.7089668989699,330.7,1072
"48439105502",6389,1.3522005611026,4724.89080672348,6.389,4.72489080672347,8.46059972997266,10.3684971098266,4.55202312138728,85.0794797687861,6389,4601,1274,67,6389,1724,0.720143997495696,0.19940522773517,0.0104867741430584,0.269838785412428,1,0,0,0,10.122663242289,62.2849580943979,"2.81",52,11.8018567568224,133.5,873
"48439105503",5989,1.4049664460612,4262.73525377781,5.989,4.26273525377781,8.3576663115709,6.47816750178955,4.33070866141732,89.1911238367931,5989,5070,687,141,5989,986,0.84655201202204,0.114710302220738,0.0235431624645183,0.164635164468192,1,0,0,0,10.3252524280577,71.9063545150502,"2.36",48,11.6960800080681,120.1,1160
