"GEOID","NAME","variable","estimate","moe","pct100","pct149","pct150","universe","white","black","asian","hispuniverse","hisp","pctWht","pctBlk","pctAsn","pctHisp","pluWht","pluBlk","pluAsn","pluHisp","loginc","pctOwn","medAge","logHousVal","thouHousVal","medRent","logMedRent"
"34001002300","Census Tract 23, Atlantic County, New Jersey","B01001_001",2557,307,20.4204204204204,13.6136136136136,65.965965965966,2557,1172,186,994,2557,1131,0.458349628470864,0.0727414939382088,0.3887368009386,0.442315213140399,1,0,0,0,9.68930374259339,33.117723156533,70,11.6919081204987,119.6,887,6.78784498230958
"34001002400","Census Tract 24, Atlantic County, New Jersey","B01001_001",2570,315,21.6056670602125,5.19480519480519,73.1995277449823,2570,1007,1104,309,2570,573,0.391828793774319,0.429571984435798,0.120233463035019,0.22295719844358,0,1,0,0,9.641992909838,9.55574182732607,53,12.5142923691995,272.2,549,6.30809844150953
"34001002500","Census Tract 25, Atlantic County, New Jersey","B01001_001",4155,487,13.7091607943626,6.21396540679052,80.0768737988469,4155,1332,2067,390,4155,573,0.32057761732852,0.497472924187726,0.0938628158844765,0.137906137184116,0,1,0,0,9.82439023117742,21.4213197969543,35,11.9866720804948,160.6,593,6.38519439899773
"34001010101","Census Tract 101.01, Atlantic County, New Jersey","B01001_001",3120,251,0.611413043478261,0.407608695652174,98.9809782608696,3120,2972,13,38,3120,130,0.952564102564103,0.00416666666666667,0.0121794871794872,0.0416666666666667,1,0,0,0,10.5527089685277,83.5521769177609,38,12.7227809324543,335.3,1406,7.24850407237061
"34001010102","Census Tract 101.02, Atlantic County, New Jersey","B01001_001",1918,191,7.9646017699115,2.52844500632111,89.5069532237674,1918,1831,32,16,1918,65,0.954640250260688,0.0166840458811262,0.00834202294056309,0.0338894681960375,1,0,0,0,10.2354855087624,71.5625,57,12.9355517553375,414.8,1116,7.01750614294126
"34001010104","Census Tract 101.04, Atlantic County, New Jersey","B01001_001",1501,215,7.72058823529412,12.5,79.7794117647059,1501,1400,0,13,1501,139,0.932711525649567,0,0.00866089273817455,0.0926049300466356,1,0,0,0,10.3307141524258,53.5714285714286,42,12.6785731549745,320.8,1157,7.05358572719368
"34001010105","Census Tract 101.05, Atlantic County, New Jersey","B01001_001",2700,240,13.6396790663749,3.28227571115974,83.0780452224654,2700,2208,163,293,2700,466,0.817777777777778,0.0603703703703704,0.108518518518519,0.172592592592593,1,0,0,0,10.1969031568357,68.6036426712923,36,12.6672877687428,317.2,1386,7.23417717974985
"34001010200","Census Tract 102, Atlantic County, New Jersey","B01001_001",5957,220,0.840042002100105,3.60518025901295,95.5547777388869,5957,5615,112,33,5957,519,0.942588551284203,0.0188014101057579,0.0055397011918751,0.0871243914722176,1,0,0,0,10.4689433969532,90.929203539823,50,12.210562550803,200.9,1322,7.18690102041163
"34001010300","Census Tract 103, Atlantic County, New Jersey","B01001_001",2481,209,7.69230769230769,7.14932126696833,85.158371040724,2481,1180,495,460,2481,367,0.475614671503426,0.199516324062878,0.185409109230149,0.147924224103184,1,0,0,0,10.16485131667,63.7445887445887,45,12.0855984920623,177.3,1212,7.10002716662926
"34001010401","Census Tract 104.01, Atlantic County, New Jersey","B01001_001",5535,522,1.01503759398496,0.451127819548872,98.5338345864662,5535,4850,290,293,5535,223,0.876242095754291,0.0523938572719061,0.0529358626919603,0.0402890695573622,1,0,0,0,10.4750319113368,76.9341662662182,40,12.4320122841464,250.7,1334,7.19593722647557
"34001010403","Census Tract 104.03, Atlantic County, New Jersey","B01001_001",7266,526,7.584,6.08,86.336,7266,3610,670,2185,7266,1281,0.496834571979081,0.0922102945224332,0.300715661987338,0.176300578034682,1,0,0,0,10.0996709222676,75.7473481195757,24,12.2760650173502,214.5,964,6.87109129461055
