"GEOID","NAME","variable","estimate","moe","pct100","pct149","pct150","universe","white","black","asian","hispuniverse","hisp","pctWht","pctBlk","pctAsn","pctHisp","pluWht","pluBlk","pluAsn","pluHisp","loginc","pctOwn","medAge","logHousVal","thouHousVal","medRent","logMedRent"
"36083041400","Census Tract 414, Rensselaer County, New York","B01001_001",3919,290,11.0506260206859,4.84485574305934,84.1045182362548,3919,3126,227,369,3919,163,0.797652462362848,0.0579229395253891,0.0941566726205665,0.041592242919112,1,0,0,0,10.3254819625955,42.223382045929,41,12.1436651854016,187.9,1020,6.92755790627832
"36083051500","Census Tract 515, Rensselaer County, New York","B01001_001",2525,338,15.8273381294964,7.46402877697842,76.7086330935252,2525,1787,332,96,2525,173,0.707722772277228,0.131485148514851,0.038019801980198,0.0685148514851485,1,0,0,0,10.2040364906947,34.2560553633218,79,11.662207167686,116.1,738,6.60394382460047
"36083051600","Census Tract 516, Rensselaer County, New York","B01001_001",6910,332,3.69137670196672,8.32072617246596,87.9878971255673,6910,5610,276,515,6910,363,0.811866859623734,0.0399421128798842,0.0745296671490593,0.0525325615050651,1,0,0,0,10.2841475417253,42.9058663028649,63,11.8458198802436,139.5,1037,6.94408720822953
"36083051701","Census Tract 517.01, Rensselaer County, New York","B01001_001",3414,19,2.98165137614679,1.94954128440367,95.0688073394495,3414,3316,0,0,3414,93,0.971294669009959,0,0,0.0272407732864675,1,0,0,0,10.2798670797492,76.4660493827161,68,12.0878520141427,177.7,918,6.82219739062049
"36083051702","Census Tract 517.02, Rensselaer County, New York","B01001_001",3445,21,6.06451612903226,4.32258064516129,89.6129032258064,3445,3345,35,0,3445,40,0.970972423802613,0.0101596516690856,0,0.011611030478955,1,0,0,0,10.1740870450066,62.9890453834116,79,11.5787132055082,106.8,848,6.7428806357919
"36083051800","Census Tract 518, Rensselaer County, New York","B01001_001",5713,21,2.17543859649123,2.66666666666667,95.1578947368421,5713,5684,0,0,5713,27,0.99492385786802,0,0,0.00472606336425696,1,0,0,0,10.4951002222718,84.7544022242817,44,12.1426002225746,187.7,883,6.78332520060396
"36083051901","Census Tract 519.01, Rensselaer County, New York","B01001_001",4114,222,2.44755244755245,4.89510489510489,92.6573426573427,4114,3856,166,5,4114,26,0.937287311618862,0.0403500243072436,0.00121536217792902,0.00631988332523092,1,0,0,0,10.4393959566696,85.5245683930943,50,12.0968156595932,179.3,693,6.5410299991899
"36083051902","Census Tract 519.02, Rensselaer County, New York","B01001_001",3562,224,8.92434988179669,2.71867612293144,88.3569739952719,3562,3401,40,19,3562,57,0.954800673778776,0.0112296462661426,0.00533408197641774,0.0160022459292532,1,0,0,0,10.3385114628858,89.2424242424242,55,12.0889768736539,177.9,787,6.6682282484174
"36083052002","Census Tract 520.02, Rensselaer County, New York","B01001_001",1757,148,3.01768990634755,0.520291363163372,96.4620187304891,1757,1691,6,19,1757,11,0.962435970404098,0.00341491178144565,0.0108138873079112,0.00626067159931702,1,0,0,0,10.5217764795516,88.4671532846715,54,12.3681914950066,235.2,802,6.68710860786651
"36083052003","Census Tract 520.03, Rensselaer County, New York","B01001_001",4520,257,0.862745098039216,1.2156862745098,97.921568627451,4520,4229,78,96,4520,98,0.935619469026549,0.0172566371681416,0.0212389380530973,0.0216814159292035,1,0,0,0,10.6779151360472,76.5171503957784,43,12.1489730534896,188.9,1047,6.95368421087054
"36083052004","Census Tract 520.04, Rensselaer County, New York","B01001_001",6092,236,0.576867608883761,0.490337467551197,98.932794923565,6092,5821,20,149,6092,119,0.955515430072226,0.00328299409061064,0.0244583059750492,0.0195338148391333,1,0,0,0,10.7702098174418,75.2696456086287,56,12.2481738215488,208.6,1088,6.99209642741589
"36083052101","Census Tract 521.01, Rensselaer County, New York","B01001_001",2240,188,4.97000856898029,1.97086546700943,93.0591259640103,2240,2156,37,18,2240,54,0.9625,0.0165178571428571,0.00803571428571428,0.0241071428571429,1,0,0,0,10.4993526102895,80.8917197452229,43,12.0535040468856,171.7,872,6.77078942390898
"36083052102","Census Tract 521.02, Rensselaer County, New York","B01001_001",1571,140,2.0891364902507,8.35654596100279,89.5543175487465,1571,1552,0,0,1571,21,0.987905792488861,0,0,0.0133672819859962,1,0,0,0,10.261895993101,88.062015503876,42,11.8543852431025,140.7,664,6.49828214947643
"36083052103","Census Tract 521.03, Rensselaer County, New York","B01001_001",1699,179,2.32288037166086,5.11033681765389,92.5667828106852,1699,1678,0,8,1699,5,0.987639788110653,0,0.00470865214832254,0.00294290759270159,1,0,0,0,10.2385659610873,83.8664812239221,52,11.8313791960888,137.5,823,6.71295620067707
"36083052201","Census Tract 522.01, Rensselaer County, New York","B01001_001",4534,20,2.3696682464455,0.276461295418641,97.3538704581359,4534,4505,0,0,4534,65,0.993603881782091,0,0,0.0143361270401412,1,0,0,0,10.7026150566333,78.4651992861392,47,12.281180118017,215.6,773,6.65027904858742
"36083052203","Census Tract 522.03, Rensselaer County, New York","B01001_001",5764,229,0.452927855063086,4.8527984471045,94.6942736978324,5764,5532,64,0,5764,124,0.959750173490632,0.0111034004163775,0,0.0215128383067314,1,0,0,0,10.5918734159944,88.7722501141031,53,12.2624529789663,211.6,757,6.62936325343745
"36083052204","Census Tract 522.04, Rensselaer County, New York","B01001_001",2768,224,3.73027259684362,3.15638450502152,93.1133428981349,2768,2766,0,0,2768,43,0.999277456647399,0,0,0.0155346820809249,1,0,0,0,10.6830646910944,92.1001926782274,53,12.4403539412548,252.8,1004,6.91174730025167
"36083052301","Census Tract 523.01, Rensselaer County, New York","B01001_001",3919,313,3.1636863823934,2.61348005502063,94.222833562586,3919,3613,108,103,3919,343,0.921918856851238,0.0275580505230926,0.0262822148507272,0.0875223271242664,1,0,0,0,10.5390585849585,60.5981794538362,43,12.4525420221479,255.9,1401,7.24494154633701
"36083052303","Census Tract 523.03, Rensselaer County, New York","B01001_001",1144,138,7.32984293193717,4.88656195462478,87.783595113438,1144,1127,2,0,1144,0,0.98513986013986,0.00174825174825175,0,0,1,0,0,0,10.4583204922951,83.5585585585586,65,12.1372583295298,186.7,1055,6.96129604591017
"36083052304","Census Tract 523.04, Rensselaer County, New York","B01001_001",7088,323,0.864714086471409,0.920502092050209,98.2147838214784,7088,6738,150,72,7088,123,0.950620767494357,0.0211625282167043,0.0101580135440181,0.0173532731376975,1,0,0,0,10.5286770399128,82.0798848506657,55,12.1980404738329,198.4,833,6.72503364216684
"36083052402","Census Tract 524.02, Rensselaer County, New York","B01001_001",2353,162,2.52365930599369,1.57728706624606,95.8990536277603,2353,2227,56,31,2353,41,0.946451338716532,0.0237994050148746,0.0131746706332342,0.0174245643858904,1,0,0,0,10.4290441409021,88.1971465629053,35,12.6628643808037,315.8,393,5.97380961186926
"36083052403","Census Tract 524.03, Rensselaer County, New York","B01001_001",6709,345,4.71354166666667,2.99479166666667,92.2916666666667,6709,6000,200,399,6709,167,0.894321061260993,0.0298107020420331,0.059472350573856,0.0248919362050976,1,0,0,0,10.6073273626348,75.6166982922201,47,12.1356501812336,186.4,1159,7.05531284333975
"36083052404","Census Tract 524.04, Rensselaer County, New York","B01001_001",7400,363,2.32194103835116,1.90451343595095,95.7735455256979,7400,6759,105,227,7400,283,0.913378378378378,0.0141891891891892,0.0306756756756757,0.0382432432432432,1,0,0,0,10.7103204974999,74.6941628801118,44,12.2390237456699,206.7,1078,6.98286275146894
"36083052501","Census Tract 525.01, Rensselaer County, New York","B01001_001",6366,338,0.423866970981415,2.18454515813499,97.3915878708836,6366,6097,89,40,6366,26,0.957744266415332,0.0139805215205781,0.00628338045868677,0.0040841972981464,1,0,0,0,10.578088815809,80.0992966487381,46,12.3410405059407,228.9,933,6.83840520084734
"36083052502","Census Tract 525.02, Rensselaer County, New York","B01001_001",5394,338,2.96220633299285,2.48552945182159,94.5522642151856,5394,5168,81,120,5394,2,0.958101594364108,0.0150166852057842,0.0222469410456062,0.000370782350760104,1,0,0,0,10.6013237225822,83.5411471321696,40,12.291332489481,217.8,887,6.78784498230958
"36083052503","Census Tract 525.03, Rensselaer County, New York","B01001_001",1325,116,1.22324159021407,1.37614678899083,97.4006116207951,1325,1261,24,0,1325,35,0.951698113207547,0.0181132075471698,0,0.0264150943396226,1,0,0,0,10.5417032495699,79.8804780876494,79,12.0124878964575,164.8,884,6.78445706263764
"36083052601","Census Tract 526.01, Rensselaer County, New York","B01001_001",3783,95,5.29595015576324,2.07684319833853,92.6272066458982,3783,3543,88,66,3783,97,0.936558287073751,0.0232619614062913,0.0174464710547185,0.0256410256410256,1,0,0,0,10.5377336251759,83.0315224681422,56,12.1340394426303,186.1,970,6.87729607149743
"36083052602","Census Tract 526.02, Rensselaer County, New York","B01001_001",1075,97,4.61811722912966,0.532859680284192,94.8490230905861,1075,1029,8,0,1075,28,0.957209302325581,0.00744186046511628,0,0.026046511627907,1,0,0,0,10.4948234669494,65.6050955414013,74,12.0070117647319,163.9,727,6.58892647753352
"36083052603","Census Tract 526.03, Rensselaer County, New York","B01001_001",2894,12,1.38121546961326,2.62430939226519,95.9944751381215,2894,2885,0,9,2894,61,0.996890117484451,0,0.00310988251554941,0.0210780926053905,1,0,0,0,10.4552727613564,83.6701697655618,38,12.1001564199386,179.9,845,6.73933662735717
"36091060101","Census Tract 601.01, Saratoga County, New York","B01001_001",5901,287,2.46753246753247,1.68831168831169,95.8441558441558,5901,5665,143,0,5901,142,0.960006778512117,0.0242331808168107,0,0.0240637180138959,1,0,0,0,10.4633890139487,77.0871143375681,32,12.1858699382127,196,903,6.80572255341699
"36091060102","Census Tract 601.02, Saratoga County, New York","B01001_001",5669,288,1.5820698747528,2.1753460777851,96.2425840474621,5669,5553,53,0,5669,80,0.979537837361087,0.00934909155053801,0,0.0141118363026989,1,0,0,0,10.4391326101186,78.2970846830171,43,12.1452605061334,188.2,969,6.87626461189077
"36091060200","Census Tract 602, Saratoga County, New York","B01001_001",3591,23,3.56536502546689,5.94227504244482,90.4923599320883,3591,3465,93,30,3591,92,0.964912280701754,0.0258980785296575,0.00835421888053467,0.025619604566973,1,0,0,0,10.1760686774527,49.7332542975697,69,11.9230463846146,150.7,815,6.70318811324086
"36091060300","Census Tract 603, Saratoga County, New York","B01001_001",3843,198,1.75438596491228,6.96594427244582,91.2796697626419,3843,3764,57,0,3843,155,0.97944314337757,0.014832162373146,0,0.0403330731199584,1,0,0,0,10.3046768657815,89.3397524071527,43,11.8893049921833,145.7,822,6.71174039505618
"36091060400","Census Tract 604, Saratoga County, New York","B01001_001",2632,196,8.33333333333333,9.42028985507246,82.2463768115942,2632,2486,12,0,2632,63,0.944528875379939,0.00455927051671732,0,0.023936170212766,1,0,0,0,10.0920810660909,58.6744639376218,79,11.8270060112765,136.9,846,6.74051935960622
"36091060501","Census Tract 605.01, Saratoga County, New York","B01001_001",1750,170,4.72103004291846,2.14592274678112,93.1330472103004,1750,1693,0,0,1750,10,0.967428571428571,0,0,0.00571428571428571,1,0,0,0,10.1841827736883,82.5597749648383,45,12.0027317215121,163.2,881,6.78105762593618
